,LCSBID
s_1442_c,1467874158
s_1442_e,1467874158
s_1442_v,1467874158
s_1445_er,1467875124
s_1446_er,1467877881
s_1447_c,1467874171
s_1447_er,1467874171
s_1449_c,1467881276
s_1449_e,1467881276
s_1449_p,1467881276
s_1454_c,1467870680
s_1454_p,1467870680
s_1458_c,1467866095
s_1458_e,1467866095
s_1458_m,1467866095
s_1461_c,1467868613
s_1464_m,1467866749
s_1466_e,1467866715
s_1467_c,1467866306
s_1467_e,1467866306
s_1469_c,1467970772
s_1469_e,1467970772
s_1471_c,1467868789
s_1471_e,1467868789
s_1473_c,544907175
s_1473_v,544907175
s_1475_c,1467866431
s_1475_e,1467866431
s_1475_m,1467866431
s_1479_c,1468011282
s_1479_er,1468011282
s_1479_p,1468011282
s_1483_lp,1468185809
s_1486_c,1467896746
s_1487_c,1467866885
s_1487_m,1467866885
s_1489_c,1467870286
s_1489_e,1467870286
s_1491_c,1467892852
s_1491_m,1467892852
s_1493_c,1467868402
s_1493_e,1467868402
s_1497_c,1467877492
s_1497_e,1467877492
s_1503_c,1467870747
s_1503_m,1467870747
s_1507_p,1467908174
s_1510_p,1467894642
s_1513_p,1468185516
